series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,support_x_min,support_x_max,guide_residual_px,group_assignment_cost,competing_series,line_semantics,evidence_status,segment_break,status,candidate_id
test-0deg,0.03008695652173911,114.02522694715208,8.695652173913021e-05,0.28191598413835095,300,142.0,1.0,3,300,300,2.0,9.2,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000070
mfh-0deg,0.03008695652173911,123.18749643164857,8.695652173913021e-05,0.4228739762075264,300,109.5,1.5,4,300,300,6.5,9.2,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000009
test-0deg,0.03026086956521737,114.30714293129043,8.695652173913021e-05,0.28191598413836516,301,141.0,1.0,3,301,301,1.777356234159953,9.259429288455086,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000071
mfh-0deg,0.03026086956521737,123.18749643164857,8.695652173913021e-05,0.4228739762075264,301,109.5,1.5,4,301,301,7.132073054295134,9.259429288455086,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000010
test-0deg,0.03043478260869563,114.73001690749797,8.695652173913021e-05,0.42287397620754064,302,139.5,1.5,4,302,302,1.0636534752963485,8.699474915223718,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000072
mfh-0deg,0.03043478260869563,123.46941241578693,8.695652173913021e-05,0.42287397620754064,302,108.5,1.5,4,302,302,6.760821439927369,8.699474915223718,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000011
test-0deg,0.03060869565217389,115.1528908837055,8.695652173913021e-05,0.28191598413836516,303,138.0,1.0,3,303,303,0.35747591070455087,7.943726458105541,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000073
mfh-0deg,0.03060869565217389,123.6103704078561,8.695652173913021e-05,0.5638319682767161,303,108.0,2.0,5,303,303,6.886250547400991,7.943726458105541,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000012
test-0deg,0.03078260869565215,115.29384887577467,8.695652173913021e-05,0.14095799206918969,304,137.5,0.5,2,304,304,0.6574077276797823,7.690773494900022,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000074
mfh-0deg,0.03078260869565215,123.89228639199446,8.695652173913021e-05,0.28191598413836516,304,107.0,1.0,3,304,304,6.508365767220241,7.690773494900022,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000013
test-0deg,0.03095652173913041,115.57576485991302,8.695652173913715e-05,0.14095799206918969,305,136.5,0.5,2,305,305,0.46203311351729326,8.812033113517293,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000075
test-0deg,0.031130434782608678,115.71672285198221,8.695652173913021e-05,0.28191598413835095,306,136.0,1.0,3,306,306,0.7699362555123628,8.944936255512363,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000076
test-0deg,0.03130434782608694,115.99863883612056,8.695652173913021e-05,0.28191598413835095,307,135.0,1.0,3,307,307,0.5797013409602414,8.929701340960241,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000077
test-0deg,0.0314782608695652,116.28055482025891,8.695652173913021e-05,0.28191598413835095,308,134.0,1.0,3,308,308,0.38991255715626494,8.739912557156265,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000078
test-0deg,0.03165217391304346,116.56247080439726,8.695652173913021e-05,0.28191598413835095,309,133.0,1.0,3,309,309,0.1991540913955987,8.549154091395598,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000079
test-0deg,0.03182608695652172,116.84438678853562,8.695652173913021e-05,0.28191598413835095,310,132.0,1.0,3,310,310,0.00601013097360692,8.356010130973607,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000080
test-0deg,0.03199999999999998,116.9853447806048,8.695652173913021e-05,0.42287397620754064,311,131.5,1.5,4,311,311,0.3090648631854833,8.484064863185484,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000081
test-0deg,0.03217391304347824,117.26726076474316,8.695652173913021e-05,0.42287397620754064,312,130.5,1.5,4,312,312,0.10690247532647845,8.456902475326478,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000082
test-0deg,0.0323478260869565,117.69013474095068,8.695652173913021e-05,0.28191598413836516,313,129.0,1.0,3,313,313,0.601892845308015,9.126892845308015,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000083
